top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.92 kcompactd0
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.15 khugepaged
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     99 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    103 root      20   0       0      0      0 S   0.0   0.0   6:25.48 kswapd0
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    107 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-pciehp
    108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-pciehp
    109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-pciehp
    110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-pciehp
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-pciehp
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker/u9:0-uvcvideo
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 spi1
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.04 scsi_eh_0
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    217 root      20   0       0      0      0 S   0.0   0.0   0:20.99 jbd2/sda2-8
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    302 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    310 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    313 root       0 -20       0      0      0 S   0.0   0.0   0:00.06 loop2
    329 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    330 root       0 -20       0      0      0 S   0.0   0.0   0:29.50 loop4
    359 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop5
    360 root       0 -20       0      0      0 S   0.0   0.0   0:03.48 loop6
    361 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop7
